ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Cluster
462809,Male,No,22,No,Healthcare,1.0,Low,4.0,Cat_4,3
462643,Female,Yes,38,Yes,Engineer,,Average,3.0,Cat_4,1
466315,Female,Yes,67,Yes,Engineer,1.0,Low,1.0,Cat_6,1
461735,Male,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,2
462669,Female,Yes,40,Yes,Entertainment,,High,6.0,Cat_6,1
461319,Male,Yes,56,No,Artist,0.0,Average,2.0,Cat_6,4
460156,Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6,0
464347,Female,No,33,Yes,Healthcare,1.0,Low,3.0,Cat_6,0
465015,Female,Yes,61,Yes,Engineer,0.0,Low,3.0,Cat_7,1
465176,Female,Yes,55,Yes,Artist,1.0,Average,4.0,Cat_6,1
464041,Female,No,26,Yes,Engineer,1.0,Low,3.0,Cat_6,0
464942,Male,No,19,No,Healthcare,4.0,Low,4.0,Cat_4,3
461230,Female,No,19,No,Executive,0.0,Low,,Cat_3,3
459573,Male,Yes,70,No,Lawyer,,Low,1.0,Cat_6,2
460849,Female,Yes,58,No,Doctor,0.0,Low,1.0,Cat_3,1
460563,Female,No,41,No,Healthcare,1.0,Low,2.0,Cat_1,3
466865,Female,No,32,No,Homemaker,9.0,Low,5.0,Cat_3,3
461644,Male,No,31,No,Healthcare,1.0,Low,6.0,Cat_6,3
466772,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6,4
464291,Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6,1
466084,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,Cat_3,4
459675,Female,No,18,No,Healthcare,3.0,Low,4.0,Cat_6,3
465602,Male,Yes,33,Yes,Artist,13.0,Low,2.0,Cat_3,4
459168,Female,No,36,Yes,Artist,5.0,Low,2.0,Cat_6,0
461021,Female,,58,No,Executive,1.0,Average,3.0,Cat_3,1
465083,Male,Yes,56,No,Artist,1.0,Average,3.0,Cat_6,4
467604,Male,No,31,No,Healthcare,9.0,Low,8.0,Cat_4,3
459717,Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,4
465882,Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6,0
461996,Female,No,35,No,Artist,5.0,Low,4.0,Cat_6,3
463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6,1
462216,Female,Yes,42,No,Doctor,1.0,Low,2.0,Cat_4,1
462454,Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_2,3
467010,Male,No,26,No,Homemaker,9.0,Low,,Cat_6,3
459861,Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6,2
467917,Female,No,27,Yes,Healthcare,3.0,Low,4.0,Cat_1,3
465572,Male,No,32,No,Doctor,5.0,Low,1.0,Cat_4,0
460593,Female,Yes,28,No,Healthcare,1.0,Average,5.0,Cat_3,3
465891,Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6,1
467442,Male,Yes,56,Yes,Artist,,Average,2.0,Cat_6,4
462044,Female,No,47,Yes,Artist,4.0,Low,1.0,Cat_6,0
465686,Female,No,22,No,Healthcare,0.0,Low,2.0,Cat_6,3
464590,Female,No,27,Yes,Artist,14.0,Low,3.0,Cat_6,0
466006,Female,Yes,49,Yes,Artist,1.0,Low,2.0,,1
466152,Male,Yes,40,No,Engineer,8.0,Low,1.0,Cat_6,4
463156,Female,Yes,79,No,Lawyer,,High,2.0,Cat_6,2
465729,Male,Yes,41,Yes,Artist,0.0,Average,4.0,Cat_4,4
462384,Female,No,29,Yes,Healthcare,,Low,1.0,Cat_7,0
462442,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,3
464191,Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6,0
462078,Female,Yes,61,No,Artist,1.0,Average,2.0,Cat_2,1
467873,Female,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_6,1
461270,Male,Yes,40,Yes,Artist,1.0,Low,1.0,Cat_3,4
462960,Female,Yes,57,Yes,Entertainment,0.0,Average,2.0,Cat_6,1
464961,Male,Yes,76,No,Marketing,1.0,Low,1.0,Cat_4,2
462110,Male,Yes,32,Yes,Artist,14.0,Average,2.0,Cat_6,4
465769,Male,No,25,Yes,Healthcare,9.0,Low,4.0,Cat_6,0
462267,Male,No,32,,Doctor,8.0,Low,2.0,Cat_6,0
465269,Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_3,1
460881,Male,Yes,72,Yes,Lawyer,1.0,Low,,Cat_4,2
461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6,4
466935,Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1,4
464091,Male,Yes,74,Yes,Lawyer,0.0,High,3.0,Cat_6,2
464535,Male,Yes,56,Yes,Lawyer,1.0,High,2.0,Cat_6,2
463108,Male,Yes,59,Yes,Lawyer,7.0,High,2.0,Cat_6,2
461356,Male,No,25,Yes,Entertainment,0.0,Low,2.0,Cat_6,0
464570,Male,Yes,31,Yes,Doctor,0.0,Average,2.0,Cat_6,4
464580,Male,No,27,No,Artist,8.0,Low,4.0,Cat_6,3
465233,Male,Yes,57,Yes,Artist,0.0,Average,4.0,Cat_6,4
467208,Female,Yes,39,Yes,Homemaker,,High,2.0,Cat_6,1
459954,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6,4
460219,Female,Yes,51,Yes,Entertainment,8.0,Average,2.0,Cat_6,1
460877,Female,Yes,47,No,Artist,0.0,Average,5.0,Cat_6,1
460191,Female,No,33,No,Healthcare,8.0,Low,4.0,Cat_6,3
463742,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,4
463691,Female,No,33,No,Homemaker,0.0,Low,3.0,Cat_6,3
463250,Female,No,36,Yes,Doctor,0.0,Low,2.0,Cat_6,0
463952,Male,Yes,51,No,Artist,4.0,Low,3.0,Cat_4,4
461558,Male,Yes,45,Yes,Engineer,2.0,Average,2.0,Cat_6,4
466567,Female,No,49,Yes,,1.0,Low,1.0,Cat_6,0
465379,Male,No,30,No,Healthcare,0.0,Low,4.0,Cat_6,3
463814,Female,No,26,No,Healthcare,6.0,Low,3.0,Cat_5,3
466938,Male,Yes,63,Yes,Artist,8.0,Low,1.0,Cat_6,4
460671,Male,Yes,35,No,Entertainment,8.0,Average,4.0,Cat_3,4
462204,Female,No,19,No,Marketing,1.0,Low,3.0,Cat_4,3
461671,Male,No,32,No,Healthcare,7.0,Low,5.0,Cat_6,3
459384,Male,Yes,52,Yes,Artist,0.0,Average,3.0,Cat_6,4
459905,Female,Yes,36,Yes,Artist,5.0,Low,2.0,Cat_6,1
464734,Female,No,42,No,Entertainment,7.0,Low,3.0,Cat_4,3
464125,Male,Yes,40,No,Doctor,0.0,Average,2.0,Cat_3,4
467434,Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1,3
460956,Female,Yes,47,Yes,Artist,1.0,Average,4.0,Cat_3,1
465179,Female,Yes,61,Yes,Artist,1.0,High,2.0,Cat_6,1
463338,Male,Yes,32,No,Entertainment,1.0,Low,2.0,Cat_3,4
467066,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,4
463845,Male,Yes,58,Yes,Artist,,Average,1.0,Cat_6,4
459976,Female,No,38,Yes,Artist,0.0,Low,1.0,Cat_6,0
461334,Male,Yes,63,Yes,Artist,0.0,High,2.0,Cat_6,4
465108,Male,Yes,58,Yes,Doctor,1.0,Average,2.0,Cat_6,4
462600,Male,Yes,30,No,Engineer,3.0,Average,3.0,Cat_4,4
464144,Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6,4
466911,Male,Yes,68,No,Executive,1.0,High,7.0,Cat_6,4
462806,Male,Yes,52,No,Artist,0.0,Low,3.0,Cat_4,4
463426,Male,Yes,38,No,Executive,0.0,High,5.0,Cat_6,4
464065,Female,Yes,35,Yes,Healthcare,10.0,Low,2.0,Cat_6,1
462979,Male,No,18,No,Doctor,1.0,Low,2.0,Cat_6,3
462834,Male,Yes,30,Yes,Homemaker,3.0,Low,2.0,Cat_1,4
